Issue Type,Epic Name,Epic Link,Summary,Description,Status,Contributor Type,Agent,Model,Cost Tier,Review Outcome,Category
Story,,"Local REST API","Garmin activity API endpoints","REST endpoints for activity list/detail/summary/weekly/monthly aggregates and full per-activity track data. Exists as the read path the Activities and Overview tabs are built on.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
Story,,"Local REST API","Withings body API endpoints (incl. correlation)","REST endpoints for body-measurement list/monthly aggregates and the weekly-running-km-vs-avg-weight correlation query. Exists to compute the ""holistic"" training/body correlation server-side, once, rather than in the browser.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
Story,,"Local REST API","Strava sync/status API endpoints","REST endpoints for Strava OAuth status, login-URL generation, callback handling, and triggering a sync. Exists to let the frontend drive the Strava connection without embedding OAuth logic client-side.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
Story,,"Local REST API","Settings & appearance API endpoints","REST endpoints for outlier-detection thresholds, trend-grouping thresholds, theme, background, and measurement-unit preferences, persisted server-side. Exists so user preferences survive across devices/browsers without relying on browser storage.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
Story,,"Local REST API","AI classifier API endpoints","REST endpoints to run a classification (AI or statistical), record human feedback (approve/reject/correct), and bulk-confirm results. Exists as the backend contract the classifier UI (AI-assisted workout classification epic) is built against.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
Story,,"Dashboard UI","Dashboard app shell","Tab-based navigation, global date-range selection, and Garmin/Withings/Strava connection-status indicators shared across all tabs. Exists as the scaffolding every other tab plugs into.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Dashboard UI","Overview & Trends tab","Per-sport distance/pace/HR trend charts (single-activity, weekly, or monthly grouping) with reference bands for each sport's average/min/max. Exists to answer ""how is my training trending"" at a glance, per sport.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Dashboard UI","Activities tab (list + pagination)","Paginated, filterable list of all activities across both training sources. Exists as the entry point for reviewing individual sessions.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Dashboard UI","Activity detail view (multi-metric chart)","Per-activity chart overlaying pace/speed, HR, altitude, cadence, and power, with automatic pause detection and outlier filtering. Exists to give a full, readable picture of a single session beyond its summary numbers.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Dashboard UI","Body tab (trends + correlation)","Body-composition trend charts plus the training-km-vs-weight correlation chart. Exists as the ""holistic"" centerpiece connecting training volume to body composition on one timeline.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Dashboard UI","Data & Sync tab","Triggers device-status-gated syncs for all three sources, plus the delete/trash/restore/purge workflow for activities and body measurements. Exists as the one place to manage data lifecycle without touching the database directly.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Dashboard UI","Settings tab","UI for outlier-detection thresholds, trend-grouping thresholds, theme/background, and measurement-unit preferences. Exists to make the app's behavior configurable without editing config files.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"AI-assisted workout classification","Local LLM classification (Ollama)","Classifies a run's reduced track-point summary into one of six categories via a locally-running Ollama model. Exists as the higher-nuance classification path, entirely on-device.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"AI-assisted workout classification","Deterministic statistical classification","Classifies a run using fixed rules over pace variance, splits, and pause pattern — no LLM, instant, no dependency on Ollama being available. Exists as a fast, dependency-free alternative/fallback to the LLM path, and a way to sanity-check it.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"AI-assisted workout classification","Classification review workflow","Approve/reject/correct UI per activity, with both classification methods' results stored and shown independently so they can be compared before either is confirmed as the activity's final classification. Exists to keep a human in the loop rather than trusting either classifier blindly.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"AI-assisted workout classification","Bulk classification workflow","Batch-classify and batch-confirm selected activities from the Data & Sync tab, with per-item progress. Exists to make labeling months of historical activities practical instead of one-by-one.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
